passtype,age,status,sex
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
first,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
second,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
third,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
crew,adult,dead,male
