id,publisher,name,Identity,align,eye,hair,sex,alive,appearances,first_appearance,month,year,date
59,Marvel,Alexander Summers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,558,"1969, March",March,1969,3/1/1969
60,Marvel,Patricia Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,550,"1944, November",November,1944,11/1/1944
61,Marvel,Human Torch (Android) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,548,"1939, October",October,1939,10/1/1939
62,Marvel,Loki Laufeyson (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Living Characters,532,"1949, August",August,1949,8/1/1949
63,Marvel,Franklin Nelson (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,528,"1964, April",April,1964,4/1/1964
64,Marvel,Brian Braddock (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,528,"1976, October",October,1976,10/1/1976
65,Marvel,Otto Octavius (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Deceased Characters,526,"1963, July",July,1963,7/1/1963
66,Marvel,James Rhodes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,525,"1979, January",January,1979,1/1/1979
67,Marvel,Timothy Dugan (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,517,"1963, May",May,1963,5/1/1963
68,Marvel,Crystalia Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Living Characters,512,"1965, December",December,1965,12/1/1965
69,Marvel,Samuel Wilson (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,512,"1969, September",September,1969,9/1/1969
70,Marvel,Wilson Fisk (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,503,"1967, July",July,1967,7/1/1967
71,Marvel,Odin Borson (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Living Characters,502,"1962, October",October,1962,10/1/1962
72,Marvel,Deadpool (Wade Wilson),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters,500,"1991, February",February,1991,2/1/1991
73,Marvel,Dane Whitman (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,478,"1967, December",December,1967,12/1/1967
74,Marvel,Harold Osborn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,474,"1965, December",December,1965,12/1/1965
75,Marvel,Franklin Richards (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,473,"1968, November",November,1968,11/1/1968
76,Marvel,Jessica Drew (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,471,"1977, February",February,1977,2/1/1977
77,Marvel,Roberto da Costa (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,464,"1982, November",November,1982,11/1/1982
78,Marvel,Rahne Sinclair (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,448,"1982, November",November,1982,11/1/1982
79,Marvel,Elizabeth Ross (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,446,"1962, May",May,1962,5/1/1962
80,Marvel,Lorna Dane (Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Living Characters,433,"1968, October",October,1968,10/1/1968
81,Marvel,Blaine Colt (Earth-616),Public Identity,NA,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,429,"NA, NA",NA,NA,NA
82,Marvel,Johnathon Blaze (Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,Living Characters,426,"1972, August",August,1972,8/1/1972
83,Marvel,Sif (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,422,"1964, March",March,1964,3/1/1964
84,Marvel,Red Hulk (Thaddeus Ross),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,415,"1962, May",May,1962,5/1/1962
85,Marvel,Jubilation Lee (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,408,"1989, May",May,1989,5/1/1989
86,Marvel,Volstagg (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,406,"1965, August",August,1965,8/1/1965
87,Marvel,Balder Odinson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,403,"1962, October",October,1962,10/1/1962
88,Marvel,Galactus (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,Living Characters,390,"1966, March",March,1966,3/1/1966
89,Marvel,Danielle Moonstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,388,"1982, November",November,1982,11/1/1982
90,Marvel,Marc Spector (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,387,"1975, August",August,1975,8/1/1975
91,Marvel,Gwendolyne Stacy (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,384,"1965, December",December,1965,12/1/1965
92,Marvel,Medusalith Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,382,"1965, March",March,1965,3/1/1965
93,Marvel,Sabretooth (Victor Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,Living Characters,382,"1977, August",August,1977,8/1/1977
94,Marvel,Illyana Rasputina (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,380,"1975, May",May,1975,5/1/1975
95,Marvel,Johann Shmidt (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,376,"1941, August",August,1941,8/1/1941
96,Marvel,Fandral (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,375,"1965, August",August,1965,8/1/1965
97,Marvel,Sean Cassidy (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Living Characters,374,"1967, January",January,1967,1/1/1967
98,Marvel,Thomas Raymond (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,373,"1940, September",September,1940,9/1/1940
99,Marvel,Uatu (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,373,"1963, April",April,1963,4/1/1963
100,Marvel,Richard Rider (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,373,"1976, September",September,1976,9/1/1976
101,Marvel,Hogun (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,371,"1965, August",August,1965,8/1/1965
102,Marvel,Raven Darkholme (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Living Characters,371,"1978, April",April,1978,4/1/1978
103,Marvel,Barbara Morse (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,368,"1971, June",June,1971,6/1/1971
104,Marvel,Blackagar Boltagon (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,366,"1965, December",December,1965,12/1/1965
105,Marvel,Brunnhilde (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,361,"1970, December",December,1970,12/1/1970
106,Marvel,Alison Blaire (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,353,"1980, February",February,1980,2/1/1980
107,Marvel,Venom (Symbiote) (Earth-616),Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,Living Characters,348,"1984, May",May,1984,5/1/1984
108,Marvel,John Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,346,"1986, November",November,1986,11/1/1986
109,Marvel,Greer Grant (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,342,"1972, November",November,1972,11/1/1972
110,Marvel,Karla Sofen (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,340,"1975, December",December,1975,12/1/1975
111,Marvel,William Baker (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,338,"1963, September",September,1963,9/1/1963
112,Marvel,Sharon Carter (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,332,"1966, March",March,1966,3/1/1966
113,Marvel,Felicia Hardy (Earth-616),Public Identity,Bad Characters,NA,Blond Hair,Female Characters,Living Characters,332,"1979, July",July,1979,7/1/1979
114,Marvel,Cain Marko (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,329,"1965, July",July,1965,7/1/1965
115,Marvel,Monica Rambeau (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,327,"NA, NA",NA,NA,NA
116,Marvel,Maria Hill (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,325,"2005, April",April,2005,4/1/2005
117,Marvel,Ben Urich (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,324,"1978, July",July,1978,7/1/1978
118,Marvel,Heather Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Living Characters,323,"1973, January",January,1973,1/1/1973
119,Marvel,Millicent Collins (Earth-616),Public Identity,NA,Blue Eyes,Blond Hair,Female Characters,Living Characters,321,"1945, December",December,1945,12/1/1945
120,Marvel,James Proudstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,320,"1984, June",June,1984,6/1/1984
121,Marvel,Angelica Jones (Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,319,"1985, May",May,1985,5/1/1985
122,Marvel,Edward Brock (Earth-616),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,Living Characters,318,"1986, September",September,1986,9/1/1986
123,Marvel,MacDonald Gargan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,317,"1964, December",December,1964,12/1/1964
124,Marvel,Mephisto (Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Living Characters,316,"1968, December",December,1968,12/1/1968
125,Marvel,Tabitha Smith (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,316,"1985, November",November,1985,11/1/1985
126,Marvel,Jean-Paul Beaubier (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,313,"1979, April",April,1979,4/1/1979
127,Marvel,Daniel Ketch (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,311,"1990, May",May,1990,5/1/1990
128,Marvel,Neena Thurman (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,310,"1992, March",March,1992,3/1/1992
129,Marvel,Wong (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,306,"1963, July",July,1963,7/1/1963
130,Marvel,Thanos (Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,306,"1973, February",February,1973,2/1/1973
131,Marvel,Shang-Chi (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,296,"1973, December",December,1973,12/1/1973
132,Marvel,Alicia Masters (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,Living Characters,293,"1962, November",November,1962,11/1/1962
133,Marvel,Robert Baldwin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,293,"1988, September",September,1988,9/1/1988
134,Marvel,Vance Astrovik (Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,290,"1975, July",July,1975,7/1/1975
135,Marvel,Wendell Vaughn (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,290,"1978, January",January,1978,1/1/1978
136,Marvel,Chili Storm (Earth-616),Public Identity,NA,Green Eyes,Red Hair,Female Characters,Living Characters,284,"1948, October",October,1948,10/1/1948
137,Marvel,Abner Jenkins (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,284,"1964, August",August,1964,8/1/1964
138,Marvel,Elektra Natchios (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,280,"1981, January",January,1981,1/1/1981
139,Marvel,Bullseye (Lester) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,277,"1976, March",March,1976,3/1/1976
140,Marvel,Forge (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,276,"1984, August",August,1984,8/1/1984
141,Marvel,Virginia Potts (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,274,"1963, September",September,1963,9/1/1963
142,Marvel,Walter Langkowski (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,273,"1979, April",April,1979,4/1/1979
143,Marvel,Gorgon (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,272,"1965, November",November,1965,11/1/1965
144,Marvel,James Madrox (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,271,"1975, February",February,1975,2/1/1975
145,Marvel,Heimdall (Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,Living Characters,270,"1962, October",October,1962,10/1/1962
146,Marvel,Theresa Cassidy (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,267,"1981, April",April,1981,4/1/1981
147,Marvel,Laura Kinney (Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,265,"2004, February",February,2004,2/1/2004
148,Marvel,Arthur Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,264,"1973, February",February,1973,2/1/1973
149,Marvel,Peter Parker (Ben Reilly) (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,Deceased Characters,263,"1975, October",October,1975,10/1/1975
150,Marvel,Warlock (Technarch) (Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,Living Characters,261,"1984, August",August,1984,8/1/1984
151,Marvel,Kevin Plunder (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,260,"1965, March",March,1965,3/1/1965
152,Marvel,Leonard Samson (Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,Deceased Characters,260,"1971, July",July,1971,7/1/1971
153,Marvel,Melissa Gold (Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,260,"1979, August",August,1979,8/1/1979
154,Marvel,Lockheed (Earth-616),Secret Identity,Good Characters,NA,No Hair,Male Characters,Living Characters,260,"1983, February",February,1983,2/1/1983
155,Marvel,Mercedes Knight (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,259,"1972, March",March,1972,3/1/1972
156,Marvel,Moira Kinross (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Deceased Characters,259,"1975, December",December,1975,12/1/1975
157,Marvel,Karnak (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,257,"1965, December",December,1965,12/1/1965
158,Marvel,Namorita Prentiss (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,257,"1972, June",June,1972,6/1/1972
159,Marvel,Lockjaw (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,255,"1965, December",December,1965,12/1/1965
160,Marvel,Adam Warlock (Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,Living Characters,252,"1967, September",September,1967,9/1/1967
161,Marvel,Heather McNeil (Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Living Characters,252,"1980, November",November,1980,11/1/1980
162,Marvel,Curtis Connors (Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,Living Characters,250,"1963, November",November,1963,11/1/1963
163,Marvel,Theodore Sallis (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,Living Characters,249,"1971, May",May,1971,5/1/1971
164,Marvel,Adrian Toomes (Earth-616),Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,Living Characters,248,"1963, May",May,1963,5/1/1963
165,Marvel,Amora (Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,247,"1964, April",April,1964,4/1/1964
166,Marvel,Clea (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,247,"1964, November",November,1964,11/1/1964
167,Marvel,Mar-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,245,"1967, December",December,1967,12/1/1967
168,Marvel,Eugene Judd (Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,245,"1983, August",August,1983,8/1/1983
169,Marvel,Daimon Hellstrom (Earth-616),No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,Living Characters,242,"1973, September",September,1973,9/1/1973
170,Marvel,John Jonah Jameson III (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Living Characters,240,"1963, March",March,1963,3/1/1963
171,Marvel,Triton (Earth-616),No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,Living Characters,240,"1965, December",December,1965,12/1/1965
